pk_id,name,sound_path,fk_complexity,fk_pos,word_origin,word_meaning,word_usage,image_path,fk_game_type_id,status,created_by,created_on,updated_by,updated_on,pronunciation,
8,Abacus,SoundFiles/8.mp4,1,1,Latin,Tool with round moving pieces on strings for counting,"they didn’t have calculators in Victorian schools,but they did have the abacus!",,0,2,0,2013-10-20 21:59:45,0,NULL,u’ba-kus,
9,Abandon,SoundFiles/9.mp4,1,1,French,Leave,Abandon your life to God,,0,2,0,2013-10-20 21:59:45,0,NULL,u’ban-dun,
10,Abdomen,SoundFiles/10.mp4,1,1,Latin,Part of the body where stomach and intestines are present.,Do some exercises to strengthen your abdomen,,0,2,0,2013-10-20 21:59:45,0,NULL,ab-du-mun,
11,Ability,SoundFiles/11.mp4,1,1,Latin,Strength or smartness to do a thing,danger heightened his abilities of discrimination,,0,2,0,2013-10-20 21:59:45,0,NULL,u’bi-lu-tee,
12,Abode,SoundFiles/12.mp4,1,1,German,House,a person can have several abodes,,0,2,0,2013-10-20 21:59:45,0,NULL,u’bowd,
13,Abolish,SoundFiles/13.mp4,1,3,Latin,Stop an action from happening,Abolish the laws,,0,2,0,2013-10-20 21:59:45,0,NULL,u’bó-lish,
14,Abort,SoundFiles/14.mp4,1,3,Latin,Stop a thing before it is finished,an aborting foetus,,0,2,0,2013-10-20 21:59:45,0,NULL,u’bort,
15,Abroad,SoundFiles/15.mp4,1,4,Old English,"To, or in, a different country across the ocean",they had never travelled abroad,,0,2,0,2013-10-20 21:59:45,0,NULL,u’brod,
16,Abrupt,SoundFiles/16.mp4,1,5,Latin,Changing quickly,abrupt prose,,0,2,0,2013-10-20 21:59:45,0,NULL,u’brúpt,
17,Absence,SoundFiles/17.mp4,1,1,French,Not being in a place,he visited during my absence,,0,2,0,2013-10-20 21:59:45,0,NULL,ab-sun(t)s,
18,Absent,SoundFiles/18.mp4,1,5,Latin,Not in a place.,an absent stare,,0,2,0,2013-10-20 21:59:45,0,NULL,ab-sunt,
19,Absorb,SoundFiles/19.mp4,1,3,French,Take in,The sponge absorbs water well,,0,2,0,2013-10-20 21:59:45,0,NULL,ub’zorb,
20,Abstract,SoundFiles/20.mp4,1,5,Latin,Difficult to see or understand,a large abstract painting,,0,2,0,2013-10-20 21:59:45,0,NULL,"’ab,strakt",
21,Abuse,SoundFiles/21.mp4,1,1,Latin,Hurt,This boss abuses his workers,,0,2,0,2013-10-20 21:59:45,0,NULL,u’byooz,
22,Academy,SoundFiles/22.mp4,1,1,Latin,An organisation,the National Academy of Sciences,,0,2,0,2013-10-20 21:59:45,0,NULL,u’ka-du-mee,
23,Accept,SoundFiles/23.mp4,1,3,Latin,Choose to receive,Please accept my present,,0,2,0,2013-10-20 21:59:45,0,NULL,ik’sept,
24,Accident,SoundFiles/24.mp4,1,1,Latin,Thing that happens without planning,winning the lottery was a happy accident,,0,2,0,2013-10-20 21:59:45,0,NULL,ak-si-dunt,
