pk_id,name,sound_path,fk_complexity,fk_pos,word_origin,word_meaning,word_usage,image_path,fk_game_type_id,status,created_by,created_on,updated_by,updated_on,pronunciation,
3368,Circuitous,SoundFiles/3368.mp4,3,5,Latin,long and not direct,the explanation was circuitous and puzzling,,0,2,0,2014-01-05 10:42:14,0,NULL,sur'kyoo-i-tus,
3369,Cinnamon,SoundFiles/3369.mp4,3,1,Greek,"the inner bark of a SE Asian tree, used in cooking as a spice, especially to give flavour to sweet foods",Cinnamon in a small bowl and mix until well blended.,,0,2,0,2014-01-05 10:42:14,0,NULL,si-nu-mun,
3370,Circulation,SoundFiles/3370.mp4,3,1,Latin,the movement of blood around the body,by increasing its circulation the newspaper hoped to increase its advertising,,0,2,0,2014-01-05 10:42:14,0,NULL,sur-kyu'ley-shun,
3371,Circumlocution,SoundFiles/3371.mp4,3,1,Latin,"using more words than are necessary, instead of speaking or writing in a clear, direct way",Circumlocution used to avoid the use of   i   which might have seemed arrogant,,0,2,0,2014-01-05 10:42:14,0,NULL,sur-kum-low'kyoo-shun,
3372,Cistern,SoundFiles/3372.mp4,3,1,Latin,"a container in which water is stored in a building, especially one in the roof or connected to a toilet",The runoff from the rain gutters will be plumbed to my cistern.,,0,2,0,2014-01-05 10:42:14,0,NULL,sis-tu(r)n,
3373,Clairvoyance,SoundFiles/3373.mp4,3,1,French,the power that some people are believed to have to be able to see future events or to communicate with people who are dead or far away,Few people had the clairvoyance to anticipate its astonishing growth and vitality.,,0,2,0,2014-01-05 10:42:14,0,NULL,klehr'voy-un(t)s,
3374,Clairvoyant,SoundFiles/3374.mp4,3,1,French,someone who has the power of clairvoyance,"Indeed, there are fifteen examples of purportedly clairvoyant dreams in the Bible",,0,2,0,2014-01-05 10:42:14,0,NULL,klehr'voy-unt,
3375,Clandestine,SoundFiles/3375.mp4,3,5,Latin,done secretly or kept secret,clandestine intelligence operations,,0,2,0,2014-01-05 10:42:14,0,NULL,klan'des-tin,
3376,Classical,SoundFiles/3376.mp4,3,1,Latin,widely accepted and used for a long time,this exercise develops a classically shaped body,,0,2,0,2014-01-05 10:42:14,0,NULL,kla-si-kal,
3377,Claustrophobic,SoundFiles/3377.mp4,3,5,Latin,giving you claustrophobia; suffering from claustrophobia,a claustrophobic little room,,0,2,0,2014-01-05 10:42:14,0,NULL,klos-tru'fow-bik,
3378,Cleanliness,SoundFiles/3378.mp4,3,1,German,the state of being clean or the habit of keeping things clean,"If you're uncomfortable with the cleanliness of a restaurant, don't eat there.",,0,2,0,2014-01-05 10:42:14,0,NULL,klen-lee-nus,
3379,Client,SoundFiles/3379.mp4,3,1,Latin,a person who uses the services or advice of a professional person or organization,Allocations often used to be based on past commissions paid by a client.,,0,2,0,2014-01-05 10:42:14,0,NULL,klI-unt,
3380,Clientele,SoundFiles/3380.mp4,3,1,Latin,"all the customers or clients of a shop/store, restaurant, organization, etc",they have an upper class clientele,,0,2,0,2014-01-05 10:42:14,0,NULL,klee-un'tel,
3381,Clinically,SoundFiles/3381.mp4,3,4,Greek,in a clinical manner,she is clinically qualified,,0,2,0,2014-01-05 10:42:14,0,NULL,kli-ni-k(u-)lee,
3382,Clique,SoundFiles/3382.mp4,3,1,French,a small group of people who spend their time together and do not allow others to join them,He even had his clique of dog-friends that he played with,,0,2,0,2014-01-05 10:42:14,0,NULL,kleek,
3383,Clotting,SoundFiles/3383.mp4,3,1,German,"when blood or cream clots or when something clots it, it forms thick lumps or clots",clotted blood,,0,2,0,2014-01-05 10:42:14,0,NULL,kló-ting,
3384,Cloying,SoundFiles/3384.mp4,3,5,Latin,"using emotion in a very obvious way, so that the result is unpleasant",Too much spicy food cloyed his appetite,,0,2,0,2014-01-05 10:42:14,0,NULL,kloy-ing,
3385,Cockroach,SoundFiles/3385.mp4,3,1,Spanish,"a large brown insect with wings, that lives in houses, especially where there is dirt",Adult cockroaches may vary in size from 1050mm in length,,0,2,0,2014-01-05 10:42:14,0,NULL,"'kók, rowch",
3386,Coddled,SoundFiles/3386.mp4,3,5,French,to treat somebody with too much care and attention,grandparents often coddle the children,,0,2,0,2014-01-05 10:42:14,0,NULL,kó-d(u)l,
3387,Cognizance,SoundFiles/3387.mp4,3,1,Latin,knowledge or understanding of something,beyond my cognizance,,0,2,0,2014-01-05 10:42:14,0,NULL,kóg-ni-zun(t)s,
3388,Coherent,SoundFiles/3388.mp4,3,5,Latin,logical and well organized; easy to understand and clear,a coherent argument,,0,2,0,2014-01-05 10:42:14,0,NULL,kow'heer-unt,
3389,Coiffure,SoundFiles/3389.mp4,3,1,French,the way in which a person’s hair is arranged,coiffure my hair for the wedding,,0,2,0,2014-01-05 10:42:14,0,NULL,kwó'fyûr,
3390,Collaborate,SoundFiles/3390.mp4,3,3,Latin,to work together with somebody in order to produce or achieve something,We collaborated with another research group,,0,2,0,2014-01-05 10:42:14,0,NULL,"ku'la-bu,reyt",
